source,target,last_practiced,attempts_src,score_src,attempts_tgt,score_tgt
"to, at",a,2021-12-29T11:33:15.789564100,0,0.0,0,0.0
"down, downstairs, below",abajo,2021-12-29T13:05:04.389425500,8,14.0,0,0.0
fan (to move air),el abanico,null,0,0.0,0,0.0
open,abierto,null,0,0.0,0,0.0
to embrace,abrazar,null,0,0.0,0,0.0
"embrace, hug",el abrazo,null,0,0.0,0,0.0
overcoat,el abrigo,null,0,0.0,0,0.0
to open,abrir,null,0,0.0,0,0.0
here,acá,null,0,0.0,0,0.0
to finish,acabar,null,0,0.0,0,0.0
"(pl) restroom, toilets",los aseos,null,0,0.0,0,0.0
"T-shirt, undershirt",la camiseta,null,0,0.0,0,0.0
